threshold,fpr,tpr
0.97235638,0.00288000,0.05104000
0.97235167,0.00288000,0.05112000
0.97087729,0.00288000,0.05672000
0.97120529,0.00288000,0.05552000
0.97116625,0.00288000,0.05560000
0.97112375,0.00288000,0.05568000
0.97127062,0.00288000,0.05520000
0.97124070,0.00288000,0.05528000
0.97121620,0.00288000,0.05536000
0.97121382,0.00288000,0.05544000
0.97075754,0.00288000,0.05744000
0.97074461,0.00288000,0.05752000
0.97080618,0.00288000,0.05720000
0.97077519,0.00288000,0.05728000
0.97076571,0.00288000,0.05736000
0.97201693,0.00288000,0.05248000
0.97201610,0.00288000,0.05256000
0.97200382,0.00288000,0.05264000
0.97218227,0.00288000,0.05184000
0.97217530,0.00288000,0.05192000
0.97212428,0.00288000,0.05200000
0.97211647,0.00288000,0.05208000
0.97183853,0.00288000,0.05320000
0.97182143,0.00288000,0.05328000
0.97181875,0.00288000,0.05336000
0.97180915,0.00288000,0.05344000
0.97106725,0.00288000,0.05576000
0.97085810,0.00288000,0.05680000
0.97023153,0.00296000,0.05960000
0.97040242,0.00296000,0.05864000
0.97039998,0.00296000,0.05872000
0.97039312,0.00296000,0.05880000
0.97039276,0.00296000,0.05888000
0.97038394,0.00296000,0.05896000
0.97037852,0.00296000,0.05904000
0.97035831,0.00296000,0.05912000
0.97074294,0.00296000,0.05752000
0.97070360,0.00296000,0.05760000
0.97067386,0.00296000,0.05768000
0.97066832,0.00296000,0.05776000
0.97063309,0.00296000,0.05784000
0.97061992,0.00296000,0.05792000
0.97028315,0.00296000,0.05928000
0.97025418,0.00296000,0.05936000
0.97024989,0.00296000,0.05944000
0.97024012,0.00296000,0.05952000
0.97052866,0.00296000,0.05824000
0.97051179,0.00296000,0.05832000
0.97042930,0.00296000,0.05840000
0.97042364,0.00296000,0.05848000
0.97041267,0.00296000,0.05856000
